SA2 Code 2018,SA2 2018,DHB of residence,Population,At least partially vaccinated,Fully vaccinated,Partially vaccinated uptake,Fully vaccinated uptake,SA22018_name,VaccPlanName,Booster vaccinated,Booster vaccinated uptake
Unknown,Unknown,Unknown,"66,039",Masked,Masked,>950,>950,,,Masked,
155000,Sunkist Bay,Counties Manukau,"2,728",Masked,Masked,>950,>950,,,Masked,
155100,Otara East,Counties Manukau,"3,152","2,872","2,713",911,861,,,Masked,
155200,Redcastle,Counties Manukau,"2,248","2,106","2,075",937,923,,,Masked,
155300,Botany East,Counties Manukau,"1,759",Masked,Masked,>950,>950,,,Masked,
155400,Botany South,Counties Manukau,"2,520",Masked,Masked,>950,>950,,,Masked,
155500,Manukau Central,Counties Manukau,"1,026",Masked,944,>950,920,,,Masked,
155600,Papatoetoe East,Counties Manukau,"3,781",Masked,Masked,>950,>950,,,Masked,
155700,Otara South,Counties Manukau,"3,182","2,804","2,653",881,834,,,Masked,
155800,Ferguson,Counties Manukau,"3,685","3,270","3,093",887,839,,,Masked,
155900,Papatoetoe South West,Counties Manukau,"3,089",Masked,"2,905",>950,940,,,Masked,
156000,Botany Junction,Counties Manukau,139,123,121,885,871,,,Masked,
156100,Dannemora North,Counties Manukau,"2,211",Masked,Masked,>950,>950,,,Masked,
156200,Papatoetoe South,Counties Manukau,"3,575",Masked,Masked,>950,>950,,,Masked,
156300,East Tamaki Heights,Counties Manukau,"2,641","2,487","2,461",942,932,,,Masked,
156400,Te Puru,Counties Manukau,"3,608",Masked,Masked,>950,>950,,,Masked,
156500,Puhinui North,Counties Manukau,"3,296",Masked,Masked,>950,>950,,,Masked,
156600,Dannemora South,Counties Manukau,"2,476",Masked,Masked,>950,>950,,,Masked,
156700,Puhinui South,Counties Manukau,"2,121",Masked,Masked,>950,>950,,,Masked,
156800,Rongomai West,Counties Manukau,"2,053","1,808","1,706",881,831,,,Masked,
156900,Baverstock,Counties Manukau,"3,586",Masked,"3,396",>950,947,,,Masked,
157000,Puhinui East,Counties Manukau,"2,308",Masked,Masked,>950,>950,,,Masked,
