SA2 Code 2018,SA2 2018,DHB of residence,Ethnicity,Population,At least partially vaccinated,Fully vaccinated,Partially vaccinated uptake,Fully vaccinated uptake,SA22018_name,VaccPlanName,Booster vaccinated,Booster vaccinated uptake
103900,Paihia,Northland,Maori,482,398,356,826,739,Paihia,Pfizer Booster Plan,46.0,121.37203166226912
104000,Mataraua Forest,Northland,Maori,337,256,230,760,682,Mataraua Forest,Pfizer Booster Plan,30.0,122.44897959183672
104100,Matawaia-Taumarere,Northland,Maori,796,618,559,776,702,Matawaia-Taumarere,Pfizer Booster Plan,67.0,113.17567567567568
104200,Russell Peninsula,Northland,Maori,73,56,54,767,740,Russell Peninsula,Pfizer Booster Plan,17.0,314.81481481481484
104300,Opua (Far North District),Northland,Maori,180,138,129,767,717,Opua (Far North District),Pfizer Booster Plan,24.0,175.1824817518248
104400,Russell Forest-Rawhiti,Northland,Maori,393,326,299,830,761,Russell Forest-Rawhiti,Pfizer Booster Plan,51.0,166.66666666666666
104500,Moerewa,Northland,Maori,"1,175",963,894,820,761,Moerewa,Pfizer Booster Plan,144.0,152.05913410770856
104600,Kawakawa,Northland,Maori,818,686,628,839,768,Kawakawa,Pfizer Booster Plan,88.0,132.53012048192772
104700,Maromaku,Northland,Maori,247,189,173,765,700,Maromaku,Pfizer Booster Plan,22.0,126.4367816091954
104800,Mangakahia-Hukerenui,Northland,Maori,592,512,466,865,787,Mangakahia-Hukerenui,Pfizer Booster Plan,50.0,110.86474501108648
104900,Whangaruru,Northland,Maori,655,556,525,849,802,Whangaruru,Pfizer Booster Plan,87.0,169.26070038910507
105100,Matarau,Northland,Maori,358,308,294,860,821,Matarau,Pfizer Booster Plan,43.0,151.9434628975265
105200,Hikurangi,Northland,Maori,464,396,363,853,782,Hikurangi,Pfizer Booster Plan,40.0,105.54089709762532
105300,Kauri,Northland,Maori,233,201,196,863,841,Kauri,Pfizer Booster Plan,43.0,228.72340425531917
105400,Maungatapere,Northland,Maori,422,376,356,891,844,Maungatapere,Pfizer Booster Plan,69.0,201.1661807580175
105500,Kamo West,Northland,Maori,383,346,325,903,849,Kamo West,Pfizer Booster Plan,46.0,137.3134328358209
105600,Matapouri-Tutukaka,Northland,Maori,222,199,187,896,842,Matapouri-Tutukaka,Pfizer Booster Plan,28.0,153.84615384615384
105700,Kiripaka,Northland,Maori,186,156,143,839,769,Kiripaka,Pfizer Booster Plan,25.0,171.23287671232876
105800,Kamo East,Northland,Maori,905,788,726,871,802,Kamo East,Pfizer Booster Plan,75.0,103.44827586206895
105800,Kamo East,Northland,Pacific Peoples,103,88,85,854,825,Kamo East,Pfizer Booster Plan,Masked,57.47126436781609
105900,Granfield Reserve,Northland,Maori,457,417,390,912,853,Granfield Reserve,Pfizer Booster Plan,67.0,169.1919191919192
105900,Granfield Reserve,Northland,Pacific Peoples,40,36,34,900,850,Granfield Reserve,Pfizer Booster Plan,7.0,225.80645161290323
106000,Kamo Central,Northland,Maori,408,364,340,892,833,Kamo Central,Pfizer Booster Plan,50.0,143.67816091954023
106100,Whau Valley,Northland,Maori,605,532,501,879,828,Whau Valley,Pfizer Booster Plan,67.0,139.87473903966597
106200,Tikipunga North,Northland,Maori,967,848,759,877,785,Tikipunga North,Pfizer Booster Plan,99.0,125.79415501905972
106200,Tikipunga North,Northland,Pacific Peoples,76,65,61,855,803,Tikipunga North,Pfizer Booster Plan,9.0,155.17241379310346
106300,Pukenui,Northland,Maori,175,156,148,891,846,Pukenui,Pfizer Booster Plan,35.0,236.48648648648648
106400,Otangarei,Northland,Maori,"1,273","1,023",872,804,685,Otangarei,Pfizer Booster Plan,64.0,65.57377049180327
106400,Otangarei,Northland,Pacific Peoples,53,39,39,736,736,Otangarei,Pfizer Booster Plan,Masked,153.84615384615384
106500,Tikipunga South,Northland,Maori,"1,182","1,047",980,886,829,Tikipunga South,Pfizer Booster Plan,140.0,142.85714285714286
106500,Tikipunga South,Northland,Pacific Peoples,81,Masked,71,>950,877,Tikipunga South,Pfizer Booster Plan,11.0,154.92957746478874
106600,Kensington (Whangarei District),Northland,Maori,702,601,558,856,795,Kensington (Whangarei District),Pfizer Booster Plan,90.0,160.71428571428572
106600,Kensington (Whangarei District),Northland,Pacific Peoples,56,Masked,Masked,>950,>950,Kensington (Whangarei District),Pfizer Booster Plan,Masked,74.07407407407408
106700,Abbey Caves-Glenbervie,Northland,Maori,139,122,109,878,784,Abbey Caves-Glenbervie,Pfizer Booster Plan,21.0,173.5537190082645
106800,Mairtown,Northland,Maori,530,466,447,879,843,Mairtown,Pfizer Booster Plan,98.0,231.67848699763596
106800,Mairtown,Northland,Pacific Peoples,58,45,44,776,759,Mairtown,Pfizer Booster Plan,11.0,261.9047619047619
106900,Maunu-Horahora,Northland,Maori,532,470,443,883,833,Maunu-Horahora,Pfizer Booster Plan,84.0,188.34080717488789
106900,Maunu-Horahora,Northland,Pacific Peoples,40,30,28,750,700,Maunu-Horahora,Pfizer Booster Plan,Masked,200.0
107000,Woodhill-Vinetown,Northland,Maori,722,583,543,807,752,Woodhill-Vinetown,Pfizer Booster Plan,78.0,143.11926605504587
107000,Woodhill-Vinetown,Northland,Pacific Peoples,83,77,73,928,880,Woodhill-Vinetown,Pfizer Booster Plan,17.0,236.11111111111111
107100,Whangarei Central,Northland,Maori,255,221,205,867,804,Whangarei Central,Pfizer Booster Plan,19.0,109.19540229885058
107200,Riverside,Northland,Maori,424,351,334,828,788,Riverside,Pfizer Booster Plan,49.0,148.4848484848485
107200,Riverside,Northland,Pacific Peoples,44,41,41,932,932,Riverside,Pfizer Booster Plan,7.0,170.73170731707316
107300,Raumanga,Northland,Maori,"1,429","1,171","1,014",819,710,Raumanga,Pfizer Booster Plan,120.0,107.52688172043013
107300,Raumanga,Northland,Pacific Peoples,92,85,78,924,848,Raumanga,Pfizer Booster Plan,7.0,87.5
107400,Tarewa,Northland,Maori,858,700,625,816,728,Tarewa,Pfizer Booster Plan,69.0,103.1390134529148
107500,Morningside (Whangarei District),Northland,Maori,757,663,604,876,798,Morningside (Whangarei District),Pfizer Booster Plan,84.0,133.9712918660287
107500,Morningside (Whangarei District),Northland,Pacific Peoples,52,47,45,904,865,Morningside (Whangarei District),Pfizer Booster Plan,Masked,73.17073170731707
107600,Ngunguru,Northland,Maori,154,134,130,870,844,Ngunguru,Pfizer Booster Plan,27.0,212.5984251968504
107700,Otaika-Portland,Northland,Maori,293,233,219,795,747,Otaika-Portland,Pfizer Booster Plan,42.0,191.78082191780825
107800,Oakleigh-Mangapai,Northland,Maori,231,197,188,853,814,Oakleigh-Mangapai,Pfizer Booster Plan,33.0,178.3783783783784
108000,Pataua,Northland,Maori,183,139,132,760,721,Pataua,Pfizer Booster Plan,20.0,135.13513513513513
108100,Onerahi Park,Northland,Maori,249,226,221,908,888,Onerahi Park,Pfizer Booster Plan,33.0,159.42028985507247
108200,Sherwood Rise,Northland,Maori,613,535,493,873,804,Sherwood Rise,Pfizer Booster Plan,61.0,121.7564870259481
108200,Sherwood Rise,Northland,Pacific Peoples,47,Masked,Masked,>950,>950,Sherwood Rise,Pfizer Booster Plan,Masked,142.85714285714286
108300,Onerahi,Northland,Maori,584,490,443,839,759,Onerahi,Pfizer Booster Plan,60.0,130.43478260869566
108300,Onerahi,Northland,Pacific Peoples,52,43,40,827,769,Onerahi,Pfizer Booster Plan,Masked,131.57894736842104
108500,Parua Bay,Northland,Maori,263,238,234,905,890,Parua Bay,Pfizer Booster Plan,44.0,187.2340425531915
108600,Bream Bay,Northland,Maori,347,296,274,853,790,Bream Bay,Pfizer Booster Plan,43.0,157.50915750915752
108700,Marsden Bay,Northland,Maori,299,278,267,930,893,Marsden Bay,Pfizer Booster Plan,55.0,200.72992700729927
108800,Ruakaka,Northland,Maori,598,544,501,910,838,Ruakaka,Pfizer Booster Plan,63.0,122.80701754385964
108800,Ruakaka,Northland,Pacific Peoples,54,48,46,889,852,Ruakaka,Pfizer Booster Plan,7.0,155.55555555555554
