SA2 Code 2018,SA2 2018,DHB of residence,Ethnicity,Population,At least partially vaccinated,Fully vaccinated,Partially vaccinated uptake,Fully vaccinated uptake,SA22018_name,VaccPlanName,Booster vaccinated,Booster vaccinated uptake
143400,Royal Oak East (Auckland),Auckland,Maori,125,Masked,118,>950,944,,,Masked,
143400,Royal Oak East (Auckland),Auckland,Pacific Peoples,206,190,187,922,908,,,Masked,
143500,Saint Heliers South,Auckland,Maori,109,101,101,927,927,,,Masked,
143500,Saint Heliers South,Auckland,Pacific Peoples,68,Masked,Masked,>950,>950,,,Masked,
143600,Hillsborough South (Auckland),Auckland,Maori,128,111,108,867,844,,,Masked,
143600,Hillsborough South (Auckland),Auckland,Pacific Peoples,162,148,146,914,901,,,Masked,
143700,Saint Johns West,Auckland,Maori,72.0,Masked,66.0,>950,917,,,Masked,
143700,Saint Johns West,Auckland,Pacific Peoples,73.0,Masked,Masked,>950,>950,,,Masked,
143800,Greenlane South,Auckland,Maori,193,173,161,896,834,,,Masked,
143800,Greenlane South,Auckland,Pacific Peoples,281,265,256,943,911,,,Masked,
143900,Remuera Waiatarua,Auckland,Maori,63.0,Masked,Masked,>950,>950,,,Masked,
143900,Remuera Waiatarua,Auckland,Pacific Peoples,56.0,Masked,Masked,>950,>950,,,Masked,
144000,Glendowie North,Auckland,Maori,101,90,88,891,871,,,Masked,
144000,Glendowie North,Auckland,Pacific Peoples,42,Masked,Masked,>950,>950,,,Masked,
144100,Onehunga West,Auckland,Maori,269,253,249,941,926,,,Masked,
144100,Onehunga West,Auckland,Pacific Peoples,399,Masked,372,>950,932,,,Masked,
144300,Onehunga North,Auckland,Maori,219,206,199,941,909,,,Masked,
144300,Onehunga North,Auckland,Pacific Peoples,494,448,437,907,885,,,Masked,
144400,Ellerslie East,Auckland,Maori,114,104,100,912,877,,,Masked,
144400,Ellerslie East,Auckland,Pacific Peoples,128,Masked,Masked,>950,>950,,,Masked,
144500,Saint Johns East,Auckland,Maori,148,139,139,939,939,,,Masked,
144500,Saint Johns East,Auckland,Pacific Peoples,163,Masked,152,>950,933,,,Masked,
144600,Oneroa West,Auckland,Maori,88,79,77,898,875,,,Masked,
144700,Glen Innes West,Auckland,Maori,570,523,474,918,832,,,Masked,
144700,Glen Innes West,Auckland,Pacific Peoples,"1,244","1,098","1,045",883,840,,,Masked,
144800,Ellerslie South,Auckland,Maori,118.0,111.0,109.0,941,924,,,Masked,
144800,Ellerslie South,Auckland,Pacific Peoples,111.0,Masked,Masked,>950,>950,,,Masked,
144900,Stonefields West,Auckland,Maori,49,46,46,939,939,,,Masked,
145000,Onehunga Central,Auckland,Maori,249,235,229,944,920,,,Masked,
145000,Onehunga Central,Auckland,Pacific Peoples,531,491,481,925,906,,,Masked,
145100,Glendowie South,Auckland,Maori,179,165,157,922,877,,,Masked,
145100,Glendowie South,Auckland,Pacific Peoples,154,132,132,857,857,,,Masked,
145200,Oranga,Auckland,Maori,332,298,279,898,840,,,Masked,
145200,Oranga,Auckland,Pacific Peoples,"1,032",952,908,922,880,,,Masked,
145300,Mount Wellington North West,Auckland,Maori,134,120,117,896,873,,,Masked,
145300,Mount Wellington North West,Auckland,Pacific Peoples,168,156,155,929,923,,,Masked,
145400,Panmure Glen Innes Industrial,Auckland,Maori,61.0,Masked,54,>950,885,,,Masked,
145400,Panmure Glen Innes Industrial,Auckland,Pacific Peoples,63.0,58,54,921,857,,,Masked,
145500,Onehunga-Te Papapa Industrial,Auckland,Maori,107,96,89,897,832,,,Masked,
145500,Onehunga-Te Papapa Industrial,Auckland,Pacific Peoples,164,143,132,872,805,,,Masked,
145600,Te Papapa,Auckland,Maori,279,263,252,943,903,,,Masked,
145600,Te Papapa,Auckland,Pacific Peoples,601,567,541,943,900,,,Masked,
145800,Glen Innes East-Wai O Taiki Bay,Auckland,Maori,624,556,509,891,816,,,Masked,
145800,Glen Innes East-Wai O Taiki Bay,Auckland,Pacific Peoples,"1,282","1,188","1,119",927,873,,,Masked,
145900,Penrose,Auckland,Maori,57,47,45,825,789,,,Masked,
145900,Penrose,Auckland,Pacific Peoples,110,98,94,891,855,,,Masked,
146000,Mount Wellington North East,Auckland,Maori,109.0,101,97,927,890,,,Masked,
146000,Mount Wellington North East,Auckland,Pacific Peoples,111.0,Masked,Masked,>950,>950,,,Masked,
146100,Mangere Bridge Ambury,Counties Manukau,Maori,395,Masked,358,>950,906,,,Masked,
146100,Mangere Bridge Ambury,Counties Manukau,Pacific Peoples,660,587,581,889,880,,,Masked,
146200,Mount Wellington Ferndale,Auckland,Maori,312,Masked,284,>950,910,,,Masked,
146200,Mount Wellington Ferndale,Auckland,Pacific Peoples,625,588,568,941,909,,,Masked,
146300,Point England,Auckland,Maori,826,706,654,855,792,,,Masked,
146300,Point England,Auckland,Pacific Peoples,"1,817","1,639","1,545",902,850,,,Masked,
146400,Bucklands Beach North,Counties Manukau,Maori,53,44.0,44.0,830,830,,,Masked,
146400,Bucklands Beach North,Counties Manukau,Pacific Peoples,53,43.0,42.0,811,792,,,Masked,
146500,Mount Wellington East,Auckland,Maori,201,172,164,856,816,,,Masked,
146500,Mount Wellington East,Auckland,Pacific Peoples,455,425,412,934,905,,,Masked,
146600,Mount Wellington West,Auckland,Maori,289,260,246,900,851,,,Masked,
146600,Mount Wellington West,Auckland,Pacific Peoples,569,Masked,527,>950,926,,,Masked,
146700,Panmure West,Auckland,Pacific Peoples,40,33,31,825,775,,,Masked,
146800,Mangere Bridge,Counties Manukau,Maori,416,388,373,933,897,,,Masked,
146800,Mangere Bridge,Counties Manukau,Pacific Peoples,683,605,587,886,859,,,Masked,
146900,Oneroa East-Palm Beach,Auckland,Maori,67,57,55,851,821,,,Masked,
147000,Tamaki,Auckland,Maori,724,639,593,883,819,,,Masked,
147000,Tamaki,Auckland,Pacific Peoples,"1,231","1,128","1,076",916,874,,,Masked,
147100,Panmure East,Auckland,Maori,347,306,287,882,827,,,Masked,
147100,Panmure East,Auckland,Pacific Peoples,512,Masked,469,>950,916,,,Masked,
147200,Mount Wellington Central,Auckland,Maori,406,366,349,901,860,,,Masked,
147200,Mount Wellington Central,Auckland,Pacific Peoples,680,607,583,893,857,,,Masked,
147500,Mangere Mountain View,Counties Manukau,Maori,582,520,491,893,844,,,Masked,
147500,Mangere Mountain View,Counties Manukau,Pacific Peoples,"1,460","1,293","1,255",886,860,,,Masked,
147600,Surfdale,Auckland,Maori,175,159,151,909,863,,,Masked,
147800,Half Moon Bay West,Counties Manukau,Maori,87,77,75,885,862,,,Masked,
147800,Half Moon Bay West,Counties Manukau,Pacific Peoples,64,Masked,Masked,>950,>950,,,Masked,
147900,Auckland Airport,Counties Manukau,Maori,246,224,217,911,882,,,Masked,
147900,Auckland Airport,Counties Manukau,Pacific Peoples,117,81,74,692,632,,,Masked,
148000,Eastern Beach,Counties Manukau,Maori,51,48,48,941,941,,,Masked,
148100,Sunnyhills West-Pakuranga North,Counties Manukau,Maori,131,123,122,939,931,,,Masked,
148100,Sunnyhills West-Pakuranga North,Counties Manukau,Pacific Peoples,95,Masked,87,>950,916,,,Masked,
148200,Favona North,Counties Manukau,Maori,325,273,257,840,791,,,Masked,
148200,Favona North,Counties Manukau,Pacific Peoples,"1,585","1,433","1,389",904,876,,,Masked,
148400,Farm Cove,Counties Manukau,Maori,63,Masked,Masked,>950,>950,,,Masked,
148400,Farm Cove,Counties Manukau,Pacific Peoples,40,35,35,875,875,,,Masked,
148500,Mangere North,Counties Manukau,Maori,294,239,221,813,752,,,Masked,
148500,Mangere North,Counties Manukau,Pacific Peoples,"1,247","1,113","1,081",893,867,,,Masked,
148600,Favona West,Counties Manukau,Maori,348,318,284,914,816,,,Masked,
148600,Favona West,Counties Manukau,Pacific Peoples,"1,935","1,771","1,702",915,880,,,Masked,
148700,Ostend,Auckland,Maori,159,149,138,937,868,,,Masked,
148700,Ostend,Auckland,Pacific Peoples,43,40,39,930,907,,,Masked,
148900,Mangere West,Counties Manukau,Maori,611,508,463,831,758,,,Masked,
148900,Mangere West,Counties Manukau,Pacific Peoples,"2,560","2,293","2,191",896,856,,,Masked,
149000,Pakuranga West,Counties Manukau,Maori,391,350,334,895,854,,,Masked,
149000,Pakuranga West,Counties Manukau,Pacific Peoples,468,443,429,947,917,,,Masked,
149100,Mount Wellington South West,Auckland,Maori,313,280,262,895,837,,,Masked,
149100,Mount Wellington South West,Auckland,Pacific Peoples,647,614,593,949,917,,,Masked,
149200,Sunnyhills East,Counties Manukau,Maori,123,Masked,Masked,>950,>950,,,Masked,
149200,Sunnyhills East,Counties Manukau,Pacific Peoples,71,Masked,Masked,>950,>950,,,Masked,
149300,Half Moon Bay South East,Counties Manukau,Maori,152.0,136.0,133.0,895,875,,,Masked,
149300,Half Moon Bay South East,Counties Manukau,Pacific Peoples,151.0,131.0,127.0,868,841,,,Masked,
149400,Favona East,Counties Manukau,Maori,367,319,308,869,839,,,Masked,
149400,Favona East,Counties Manukau,Pacific Peoples,"2,080","1,897","1,820",912,875,,,Masked,
149500,Mount Wellington South East,Auckland,Maori,450,412,374,916,831,,,Masked,
149500,Mount Wellington South East,Auckland,Pacific Peoples,"1,229","1,116","1,076",908,876,,,Masked,
149700,Bucklands Beach South,Counties Manukau,Maori,99.0,89,84.0,899,848,,,Masked,
149700,Bucklands Beach South,Counties Manukau,Pacific Peoples,104.0,89,88.0,856,846,,,Masked,
149800,Pakuranga Central,Counties Manukau,Maori,256,241,230,941,898,,,Masked,
149800,Pakuranga Central,Counties Manukau,Pacific Peoples,349,324,313,928,897,,,Masked,
149900,Awhitu,Counties Manukau,Maori,266,218,212,820,797,Awhitu,Pfizer Booster Plan,Masked,1000.0
149900,Awhitu,Counties Manukau,Pacific Peoples,52,44,43,846,827,,,Masked,
150000,Harania North,Counties Manukau,Maori,414,356,322,860,778,,,Masked,
150000,Harania North,Counties Manukau,Pacific Peoples,"2,698","2,483","2,364",920,876,,,Masked,
150100,Otahuhu Central,Auckland,Maori,286,252,232,881,811,,,Masked,
150100,Otahuhu Central,Auckland,Pacific Peoples,592,Masked,555,>950,938,,,Masked,
150200,Mangere Central,Counties Manukau,Maori,466,410,376,880,807,,,Masked,
150200,Mangere Central,Counties Manukau,Pacific Peoples,"2,177","1,956","1,882",898,864,,,Masked,
150300,Otahuhu North,Auckland,Maori,394,320,288,812,731,,,Masked,
150300,Otahuhu North,Auckland,Pacific Peoples,"1,627",Masked,"1,500",>950,922,,,Masked,
150400,Howick West,Counties Manukau,Maori,152,Masked,140,>950,921,,,Masked,
150400,Howick West,Counties Manukau,Pacific Peoples,134,Masked,127,>950,948,,,Masked,
150500,Pakuranga Heights North West,Counties Manukau,Maori,221.0,185.0,174,837,787,,,Masked,
150500,Pakuranga Heights North West,Counties Manukau,Pacific Peoples,217.0,191.0,184,880,848,,,Masked,
150600,Mellons Bay,Counties Manukau,Maori,100,94,93,940,930,,,Masked,
150600,Mellons Bay,Counties Manukau,Pacific Peoples,45,36,36,800,800,,,Masked,
150700,Pakuranga Heights East,Counties Manukau,Maori,239,211.0,202.0,883,845,,,Masked,
150700,Pakuranga Heights East,Counties Manukau,Pacific Peoples,212,Masked,Masked,>950,>950,,,Masked,
150800,Sutton Park,Counties Manukau,Maori,425,367,351,864,826,,,Masked,
150800,Sutton Park,Counties Manukau,Pacific Peoples,"2,450","2,254","2,175",920,888,,,Masked,
150900,Otahuhu East,Auckland,Maori,266,236,220,887,827,,,Masked,
150900,Otahuhu East,Auckland,Pacific Peoples,918,852,830,928,904,,,Masked,
151000,Mangere South,Counties Manukau,Maori,340,304,284,894,835,,,Masked,
151000,Mangere South,Counties Manukau,Pacific Peoples,"1,910","1,692","1,632",886,854,,,Masked,
151100,Onetangi,Auckland,Maori,99,91,86,919,869,,,Masked,
151200,Harania South,Counties Manukau,Maori,446,374,351,839,787,,,Masked,
151200,Harania South,Counties Manukau,Pacific Peoples,"1,872","1,742","1,667",931,890,,,Masked,
151300,Highland Park (Auckland),Counties Manukau,Maori,140,130,127,929,907,,,Masked,
151300,Highland Park (Auckland),Counties Manukau,Pacific Peoples,167,158,148,946,886,,,Masked,
151400,Otahuhu South West,Auckland,Maori,515,442,424,858,823,,,Masked,
151400,Otahuhu South West,Auckland,Pacific Peoples,"1,522","1,421","1,375",934,903,,,Masked,
151500,Pakuranga Heights South West,Counties Manukau,Maori,249,231,218,928,876,,,Masked,
151500,Pakuranga Heights South West,Counties Manukau,Pacific Peoples,342,Masked,319,>950,933,,,Masked,
151600,Mangere Mascot,Counties Manukau,Maori,444,392,357,883,804,,,Masked,
151600,Mangere Mascot,Counties Manukau,Pacific Peoples,"2,303","2,082","2,013",904,874,,,Masked,
151700,Waiheke East,Auckland,Maori,66,52,49,788,742,,,Masked,
151800,Massey Road West,Counties Manukau,Maori,443,400,367,903,828,,,Masked,
151800,Massey Road West,Counties Manukau,Pacific Peoples,"2,094","1,899","1,812",907,865,,,Masked,
151900,Otahuhu South,Auckland,Maori,426,383,360,899,845,Otahuhu South,Pfizer Booster Plan,Masked,500.0
151900,Otahuhu South,Auckland,Pacific Peoples,"1,437","1,356","1,312",944,913,,,Masked,
152000,Howick Central,Counties Manukau,Maori,149,134,131,899,879,,,Masked,
152000,Howick Central,Counties Manukau,Pacific Peoples,121,109,105,901,868,,,Masked,
152100,Massey Road North,Counties Manukau,Maori,422,364,341,863,808,,,Masked,
152100,Massey Road North,Counties Manukau,Pacific Peoples,"1,526","1,421","1,379",931,904,,,Masked,
152200,Botany Downs West,Counties Manukau,Maori,91,83,80,912,879,,,Masked,
152200,Botany Downs West,Counties Manukau,Pacific Peoples,112,Masked,103,>950,920,,,Masked,
152400,Howick East,Counties Manukau,Maori,166,142,138,855,831,,,Masked,
152400,Howick East,Counties Manukau,Pacific Peoples,87,81,77,931,885,,,Masked,
152500,Burswood,Counties Manukau,Maori,61,56,55,918,902,,,Masked,
152500,Burswood,Counties Manukau,Pacific Peoples,86,77,77,895,895,,,Masked,
152600,Massey Road South,Counties Manukau,Maori,223,182,175,816,785,,,Masked,
152600,Massey Road South,Counties Manukau,Pacific Peoples,"1,047",971,942,927,900,,,Masked,
152800,Mangere South East,Counties Manukau,Maori,380,338,319,889,839,,,Masked,
152800,Mangere South East,Counties Manukau,Pacific Peoples,"1,903","1,738","1,695",913,891,,,Masked,
152900,Botany Downs East,Counties Manukau,Maori,67.0,63.0,62.0,940,925,,,Masked,
152900,Botany Downs East,Counties Manukau,Pacific Peoples,71.0,67.0,65.0,944,915,,,Masked,
153000,Grange,Counties Manukau,Maori,243,216,200,889,823,,,Masked,
153000,Grange,Counties Manukau,Pacific Peoples,"1,155","1,062","1,014",919,878,,,Masked,
153100,Golflands,Counties Manukau,Maori,77,Masked,69.0,>950,896,,,Masked,
153100,Golflands,Counties Manukau,Pacific Peoples,65,Masked,Masked,>950,>950,,,Masked,
153200,Aorere North,Counties Manukau,Maori,183,161,148,880,809,,,Masked,
153200,Aorere North,Counties Manukau,Pacific Peoples,836,776,740,928,885,,,Masked,
153300,Mangere East,Counties Manukau,Maori,365,346,316,948,866,,,Masked,
153300,Mangere East,Counties Manukau,Pacific Peoples,"1,553","1,467","1,426",945,918,,,Masked,
153400,Cockle Bay,Counties Manukau,Maori,147,Masked,Masked,>950,>950,,,Masked,
153400,Cockle Bay,Counties Manukau,Pacific Peoples,71,Masked,Masked,>950,>950,,,Masked,
153500,Otara West,Counties Manukau,Maori,621,506,449,815,723,,,Masked,
153500,Otara West,Counties Manukau,Pacific Peoples,"1,963","1,731","1,660",882,846,,,Masked,
153600,Aorere Central,Counties Manukau,Maori,246,228,221,927,898,,,Masked,
153600,Aorere Central,Counties Manukau,Pacific Peoples,"1,029",953,918,926,892,,,Masked,
153700,Northpark North,Counties Manukau,Maori,65,59.0,58.0,908,892,,,Masked,
153700,Northpark North,Counties Manukau,Pacific Peoples,75,67.0,66.0,893,880,,,Masked,
153800,Somerville,Counties Manukau,Maori,98.0,93.0,90.0,949,918,,,Masked,
153800,Somerville,Counties Manukau,Pacific Peoples,92.0,85.0,85.0,924,924,,,Masked,
153900,Northpark South,Counties Manukau,Pacific Peoples,66,Masked,Masked,>950,>950,,,Masked,
154000,Papatoetoe North,Counties Manukau,Maori,431,367,349,852,810,,,Masked,
154000,Papatoetoe North,Counties Manukau,Pacific Peoples,"1,371","1,298","1,247",947,910,,,Masked,
154100,Dingwall,Counties Manukau,Maori,277,249,236,899,852,,,Masked,
154100,Dingwall,Counties Manukau,Pacific Peoples,740,702,684,949,924,,,Masked,
154200,Aorere South,Counties Manukau,Maori,553,487,461,881,834,,,Masked,
154200,Aorere South,Counties Manukau,Pacific Peoples,"1,879","1,747","1,701",930,905,,,Masked,
154300,Shelly Park,Counties Manukau,Maori,89,84,82,944,921,,,Masked,
154300,Shelly Park,Counties Manukau,Pacific Peoples,54,51,51,944,944,,,Masked,
154400,Otara Central,Counties Manukau,Maori,455,377,345,829,758,,,Masked,
154400,Otara Central,Counties Manukau,Pacific Peoples,"1,680","1,474","1,402",877,835,,,Masked,
154500,Huntington Park,Counties Manukau,Maori,72.0,68.0,67.0,944,931,,,Masked,
154500,Huntington Park,Counties Manukau,Pacific Peoples,79.0,74.0,74.0,937,937,,,Masked,
154700,Botany North,Counties Manukau,Maori,68.0,Masked,Masked,>950,>950,,,Masked,
154700,Botany North,Counties Manukau,Pacific Peoples,73.0,Masked,Masked,>950,>950,,,Masked,
154800,Papatoetoe West,Counties Manukau,Maori,468,433,407,925,870,,,Masked,
154800,Papatoetoe West,Counties Manukau,Pacific Peoples,"1,567","1,457","1,418",930,905,,,Masked,
154900,Papatoetoe Central,Counties Manukau,Maori,435,398,379,915,871,,,Masked,
154900,Papatoetoe Central,Counties Manukau,Pacific Peoples,"1,093",Masked,"1,031",>950,943,,,Masked,
155000,Sunkist Bay,Counties Manukau,Maori,186,Masked,Masked,>950,>950,,,Masked,
155000,Sunkist Bay,Counties Manukau,Pacific Peoples,55,Masked,Masked,>950,>950,,,Masked,
155100,Otara East,Counties Manukau,Maori,596,525,471,881,790,,,Masked,
155100,Otara East,Counties Manukau,Pacific Peoples,"2,358","2,140","2,037",908,864,,,Masked,
155200,Redcastle,Counties Manukau,Maori,118,105,97,890,822,,,Masked,
155200,Redcastle,Counties Manukau,Pacific Peoples,196,178,171,908,872,,,Masked,
155300,Botany East,Counties Manukau,Maori,52,Masked,Masked,>950,>950,,,Masked,
155300,Botany East,Counties Manukau,Pacific Peoples,66,62.0,62,939,939,,,Masked,
155400,Botany South,Counties Manukau,Maori,99.0,89.0,87.0,899,879,,,Masked,
155400,Botany South,Counties Manukau,Pacific Peoples,94.0,Masked,Masked,>950,>950,,,Masked,
155500,Manukau Central,Counties Manukau,Maori,212,186,169,877,797,,,Masked,
155500,Manukau Central,Counties Manukau,Pacific Peoples,278,245,236,881,849,,,Masked,
155600,Papatoetoe East,Counties Manukau,Maori,437,390,367,892,840,,,Masked,
155600,Papatoetoe East,Counties Manukau,Pacific Peoples,"1,283","1,178","1,147",918,894,,,Masked,
155700,Otara South,Counties Manukau,Maori,532,439,393,825,739,,,Masked,
155700,Otara South,Counties Manukau,Pacific Peoples,"2,417","2,127","2,030",880,840,,,Masked,
155800,Ferguson,Counties Manukau,Maori,747,601,551,805,738,,,Masked,
155800,Ferguson,Counties Manukau,Pacific Peoples,"2,745","2,478","2,357",903,859,,,Masked,
155900,Papatoetoe South West,Counties Manukau,Maori,415,370,345,892,831,,,Masked,
155900,Papatoetoe South West,Counties Manukau,Pacific Peoples,"1,335","1,262","1,221",945,915,,,Masked,
156100,Dannemora North,Counties Manukau,Maori,67,57,57,851,851,,,Masked,
156100,Dannemora North,Counties Manukau,Pacific Peoples,117,104,101,889,863,,,Masked,
156200,Papatoetoe South,Counties Manukau,Maori,374,319,298,853,797,,,Masked,
156200,Papatoetoe South,Counties Manukau,Pacific Peoples,903,Masked,836,>950,926,,,Masked,
156300,East Tamaki Heights,Counties Manukau,Maori,55,44,44,800,800,,,Masked,
156300,East Tamaki Heights,Counties Manukau,Pacific Peoples,98,92,91,939,929,,,Masked,
156400,Te Puru,Counties Manukau,Maori,173,Masked,Masked,>950,>950,,,Masked,
156400,Te Puru,Counties Manukau,Pacific Peoples,77,72,71,935,922,,,Masked,
156500,Puhinui North,Counties Manukau,Maori,280,252,241,900,861,,,Masked,
156500,Puhinui North,Counties Manukau,Pacific Peoples,901,Masked,850,>950,943,,,Masked,
156600,Dannemora South,Counties Manukau,Maori,59,Masked,Masked,>950,>950,,,Masked,
156600,Dannemora South,Counties Manukau,Pacific Peoples,204,Masked,192,>950,941,,,Masked,
156700,Puhinui South,Counties Manukau,Maori,239,211,195,883,816,,,Masked,
156700,Puhinui South,Counties Manukau,Pacific Peoples,680,Masked,634,>950,932,,,Masked,
156800,Rongomai West,Counties Manukau,Maori,413,349,316,845,765,,,Masked,
156800,Rongomai West,Counties Manukau,Pacific Peoples,"1,533","1,356","1,290",885,841,,,Masked,
156900,Baverstock,Counties Manukau,Maori,162,133,130,821,802,,,Masked,
156900,Baverstock,Counties Manukau,Pacific Peoples,371,Masked,Masked,>950,>950,,,Masked,
157000,Puhinui East,Counties Manukau,Maori,199,170,165,854,829,,,Masked,
157000,Puhinui East,Counties Manukau,Pacific Peoples,676,639,624,945,923,,,Masked,
157100,Turanga,Counties Manukau,Maori,166,Masked,Masked,>950,>950,,,Masked,
157100,Turanga,Counties Manukau,Pacific Peoples,60,54,53,900,883,,,Masked,
157200,Rongomai East,Counties Manukau,Maori,225,189,167,840,742,,,Masked,
157200,Rongomai East,Counties Manukau,Pacific Peoples,"1,183","1,035",998,875,844,,,Masked,
157300,Ormiston North,Counties Manukau,Maori,66,62,60,939,909,,,Masked,
157300,Ormiston North,Counties Manukau,Pacific Peoples,197,Masked,Masked,>950,>950,,,Masked,
157400,Maraetai,Counties Manukau,Maori,113,Masked,Masked,>950,>950,,,Masked,
157500,Chapel Downs,Counties Manukau,Maori,261,203,185,778,709,,,Masked,
157500,Chapel Downs,Counties Manukau,Pacific Peoples,824,762,736,925,893,,,Masked,
157600,Wiri West,Counties Manukau,Maori,350,297,263,849,751,,,Masked,
157600,Wiri West,Counties Manukau,Pacific Peoples,178,166,153,933,860,,,Masked,
157700,Clover Park North,Counties Manukau,Maori,663,568,530,857,799,,,Masked,
157700,Clover Park North,Counties Manukau,Pacific Peoples,"2,550","2,289","2,216",898,869,,,Masked,
157800,Mission Heights North,Counties Manukau,Maori,111,100,96,901,865,,,Masked,
157800,Mission Heights North,Counties Manukau,Pacific Peoples,233,Masked,Masked,>950,>950,,,Masked,
157900,Clover Park South,Counties Manukau,Maori,446,377,368,845,825,,,Masked,
157900,Clover Park South,Counties Manukau,Pacific Peoples,"1,345","1,239","1,198",921,891,,,Masked,
158000,Donegal Park,Counties Manukau,Maori,134,118,111,881,828,,,Masked,
158000,Donegal Park,Counties Manukau,Pacific Peoples,633,593,570,937,900,,,Masked,
158100,Ormiston South,Counties Manukau,Maori,180,156,150,867,833,,,Masked,
158100,Ormiston South,Counties Manukau,Pacific Peoples,623,Masked,Masked,>950,>950,,,Masked,
158200,Mission Heights South,Counties Manukau,Maori,90,84,83,933,922,Mission Heights South,Pfizer Booster Plan,Masked,1000.0
158200,Mission Heights South,Counties Manukau,Pacific Peoples,306,Masked,284,>950,928,,,Masked,
158300,Hilltop (Auckland),Counties Manukau,Maori,254,223,211,878,831,,,Masked,
158300,Hilltop (Auckland),Counties Manukau,Pacific Peoples,746,683,665,916,891,,,Masked,
158400,Wiri East,Counties Manukau,Maori,846,695,617,822,729,,,Masked,
158400,Wiri East,Counties Manukau,Pacific Peoples,"1,713","1,485","1,398",867,816,,,Masked,
158500,Goodwood Heights,Counties Manukau,Maori,385,334,313,868,813,,,Masked,
158500,Goodwood Heights,Counties Manukau,Pacific Peoples,937,874,857,933,915,,,Masked,
158600,Ormiston East,Counties Manukau,Maori,100,87,83,870,830,,,Masked,
158600,Ormiston East,Counties Manukau,Pacific Peoples,314,Masked,Masked,>950,>950,,,Masked,
158700,Clendon Park North,Counties Manukau,Maori,769,671,606,873,788,,,Masked,
158700,Clendon Park North,Counties Manukau,Pacific Peoples,"1,380","1,242","1,198",900,868,,,Masked,
158800,Burbank,Counties Manukau,Maori,941,791,715,841,760,,,Masked,
158800,Burbank,Counties Manukau,Pacific Peoples,"1,661","1,516","1,457",913,877,,,Masked,
158900,Tuscany Heights,Counties Manukau,Maori,64,Masked,Masked,>950,>950,,,Masked,
158900,Tuscany Heights,Counties Manukau,Pacific Peoples,98,89,89,908,908,,,Masked,
159000,Totara Heights,Counties Manukau,Maori,297,255,246,859,828,,,Masked,
159000,Totara Heights,Counties Manukau,Pacific Peoples,585,545,534,932,913,,,Masked,
159100,Homai East,Counties Manukau,Maori,484,397,373,820,771,,,Masked,
159100,Homai East,Counties Manukau,Pacific Peoples,996,886,862,890,865,,,Masked,
159200,Homai West,Counties Manukau,Maori,"1,069",890,813,833,761,Homai West,Pfizer Booster Plan,Masked,1000.0
159200,Homai West,Counties Manukau,Pacific Peoples,"1,768","1,588","1,516",898,857,,,Masked,
159300,The Gardens (Auckland),Counties Manukau,Maori,257,Masked,237,>950,922,,,Masked,
159300,The Gardens (Auckland),Counties Manukau,Pacific Peoples,438,397,390,906,890,,,Masked,
159400,Clarks Beach,Counties Manukau,Maori,146,Masked,134,>950,918,,,Masked,
159400,Clarks Beach,Counties Manukau,Pacific Peoples,49,Masked,Masked,>950,>950,,,Masked,
159500,Clendon Park West,Counties Manukau,Maori,622,536,504,862,810,,,Masked,
159500,Clendon Park West,Counties Manukau,Pacific Peoples,"1,314","1,225","1,179",932,897,,,Masked,
159600,Hillpark North,Counties Manukau,Maori,250,222,216,888,864,,,Masked,
159600,Hillpark North,Counties Manukau,Pacific Peoples,433,405,392,935,905,,,Masked,
159700,Clendon Park East,Counties Manukau,Maori,369,319,281,864,762,,,Masked,
159700,Clendon Park East,Counties Manukau,Pacific Peoples,"1,022",968,932,947,912,,,Masked,
159800,Karaka Creek,Counties Manukau,Maori,64,Masked,Masked,>950,>950,,,Masked,
159900,Rowandale West,Counties Manukau,Maori,794,689,635,868,800,,,Masked,
159900,Rowandale West,Counties Manukau,Pacific Peoples,"1,490","1,364","1,314",915,882,,,Masked,
160000,Rowandale East,Counties Manukau,Maori,845,731,681,865,806,,,Masked,
160000,Rowandale East,Counties Manukau,Pacific Peoples,"1,399","1,302","1,255",931,897,,,Masked,
160100,Manurewa Central,Counties Manukau,Maori,527,458,439,869,833,,,Masked,
160100,Manurewa Central,Counties Manukau,Pacific Peoples,930,862,820,927,882,,,Masked,
160200,Weymouth North,Counties Manukau,Maori,"1,017",911,839,896,825,,,Masked,
160200,Weymouth North,Counties Manukau,Pacific Peoples,"1,696","1,585","1,530",935,902,,,Masked,
160300,Hillpark South,Counties Manukau,Maori,382,343,333,898,872,,,Masked,
160300,Hillpark South,Counties Manukau,Pacific Peoples,524,474,460,905,878,,,Masked,
160400,Alfriston,Counties Manukau,Maori,317,253,244,798,770,,,Masked,
160400,Alfriston,Counties Manukau,Pacific Peoples,568,520,506,915,891,,,Masked,
160500,Weymouth East,Counties Manukau,Maori,706,602,559,853,792,Weymouth East,Pfizer Booster Plan,Masked,500.0
160500,Weymouth East,Counties Manukau,Pacific Peoples,"1,354","1,229","1,184",908,874,,,Masked,
160600,Leabank,Counties Manukau,Maori,939,811,742,864,790,,,Masked,
160600,Leabank,Counties Manukau,Pacific Peoples,"1,449","1,315","1,260",908,870,,,Masked,
160700,Weymouth South,Counties Manukau,Maori,787,679,620,863,788,,,Masked,
160700,Weymouth South,Counties Manukau,Pacific Peoples,"1,103",984,958,892,869,,,Masked,
160800,Manurewa East,Counties Manukau,Maori,621,529,466,852,750,,,Masked,
