Ethnic group,Age group,First dose administered,Second dose administered,Population,First dose uptake (%),Second dose administered (%),mumber of first dose to 90%,mumber of second dose to 90%
Pacific Peoples,60-64,145,143,140,103.57142857142858,102.14285714285714,-19.0,-17.0
Pacific Peoples,65-69,110,108,141,78.01418439716312,76.59574468085107,16.900000000000006,18.900000000000006
Pacific Peoples,70-74,91,87,80,113.75,108.74999999999999,-19.0,-15.0
Pacific Peoples,75-79,48,46,50,96.0,92.0,-3.0,-1.0
Pacific Peoples,80-84,18,18,13,138.46153846153845,138.46153846153845,-6.299999999999999,-6.299999999999999
Unknown,25-29,44,34,15,293.3333333333333,226.66666666666666,-30.5,-20.5
Unknown,30-34,65,57,12,541.6666666666667,475.0,-54.2,-46.2
Unknown,35-39,89,81,37,240.54054054054052,218.9189189189189,-55.699999999999996,-47.699999999999996
Unknown,40-44,49,39,29,168.9655172413793,134.48275862068965,-22.9,-12.899999999999999
Unknown,45-49,47,40,27,174.07407407407408,148.14814814814815,-22.7,-15.7
Unknown,50-54,50,45,26,192.30769230769232,173.0769230769231,-26.599999999999998,-21.599999999999998
Unknown,55-59,63,53,36,175.0,147.22222222222223,-30.6,-20.6
Unknown,60-64,57,47,36,158.33333333333331,130.55555555555557,-24.6,-14.600000000000001
Unknown,65-69,33,27,33,100.0,81.81818181818183,-3.3000000000000007,2.6999999999999993
Unknown,70-74,31,29,26,119.23076923076923,111.53846153846155,-7.599999999999998,-5.599999999999998
